,source,target
1598,1433,263
1599,1435,107
1600,1435,195
1601,1435,110
1602,1435,200
1603,1438,94
1604,1438,107
1605,1438,195
1606,1438,183
1607,1442,94
1608,1442,161
1609,1442,122
1610,1442,126
1611,1442,121
1612,1443,225
1613,1443,222
1614,1450,123
1615,1451,67
1616,1451,131
1617,1452,94
1618,1453,121
1619,1456,67
1620,1456,131
1621,1456,94
1622,1457,94
1623,1462,73
1624,1465,161
1625,1465,60
1626,1465,263
1627,1467,94
1628,1467,167
1629,1467,259
1630,1471,167
1631,1471,259
1632,1477,94
1633,1478,67
1634,1478,131
1635,1483,94
1636,1483,96
1637,1484,94
1638,1484,67
1639,1484,131
1640,1485,89
1641,1485,94
1642,1485,67
1643,1485,131
1644,1486,94
1645,1486,123
1646,1487,94
1647,1487,67
1648,1487,131
1649,1487,135
1650,1487,229
1651,1493,67
1652,1493,131
1653,1494,94
1654,1494,107
1655,1494,195
1656,1500,127
1657,1506,124
1658,1506,167
1659,1506,259
1660,1506,225
1661,1506,170
1662,1507,94
1663,1508,94
1664,1508,67
1665,1508,131
1666,1509,94
1667,1509,111
1668,1509,204
1669,1510,94
1670,1510,123
1671,1510,257
1672,1511,94
1673,1515,94
1674,1515,67
1675,1515,131
1676,1515,107
1677,1515,195
1678,1515,110
1679,1515,200
1680,1515,112
1681,1515,201
1682,1515,106
1683,1515,197
1684,1519,67
1685,1519,131
1686,1519,88
1687,1519,124
1688,1519,231
1689,1519,135
1690,1519,229
1691,1519,97
1692,1519,138
1693,1521,94
1694,1524,94
1695,1524,67
1696,1524,131
1697,1524,161
1698,1526,94
1699,1527,89
1700,1527,94
1701,1529,94
1702,1533,94
1703,1535,94
1704,1536,67
1705,1536,131
1706,1536,94
1707,1536,89
1708,1536,122
1709,1536,126
1710,1537,67
1711,1537,131
1712,1537,94
1713,1538,94
1714,1541,94
1715,1541,67
1716,1541,131
1717,1541,96
1718,1541,119
1719,1541,199
1720,1542,94
1721,1545,94
1722,1548,94
1723,1548,110
1724,1548,200
1725,1548,165
1726,1548,107
1727,1548,195
1728,1548,88
1729,1548,67
1730,1548,131
1731,1549,94
1732,1549,141
1733,1549,67
1734,1549,131
